Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
T.J. Yates,ATL,,3,4,64,0,1,40,0,0,,
Kellen Clemens,SDG,,1,3,10,0,0,10,1,9,,
Jordan Palmer,TEN,,1,3,7,0,0,7,0,0,,
Mohamed Sanu,CIN,WR,3,3,79,1,0,50,1,6,,
Antonio Brown *+,PIT,WR,2,2,20,1,0,17,0,0,,
Johnny Hekker,STL,,2,2,37,0,0,19,0,0,,
Sam Martin,DET,,2,2,27,0,0,24,0,0,,
Cecil Shorts,JAX,WR,2,2,32,1,0,23,0,0,,
Bryan Anger,JAX,,1,1,19,0,0,19,0,0,,
Matt Barkley,PHI,,0,1,0,0,0,0,0,0,,
Odell Beckham Jr.*,NYG,WR,0,1,0,0,0,0,0,0,,
Anquan Boldin,SFO,WR,0,1,0,0,0,0,0,0,,
Dustin Colquitt,KAN,,1,1,6,0,0,6,0,0,,
Arian Foster *,HOU,RB,1,1,5,1,0,5,0,0,,
Pierre Garcon,WAS,WR,0,1,0,0,0,0,0,0,,
Ted Ginn Jr.,ARI,,1,1,10,0,0,10,0,0,,
Robert Golden,PIT,,1,1,25,0,0,25,0,0,,
Josh Gordon,CLE,wr,0,1,0,0,0,0,0,0,,
Marion Grice,ARI,,0,1,0,0,0,0,0,0,,
Fred Jackson,BUF,RB,0,1,0,0,0,0,0,0,,
Tarvaris Jackson,SEA,,1,1,0,0,0,0,0,0,,
Jermaine Kearse,SEA,WR,1,1,17,0,0,17,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Jeremy Kerley,NYJ,WR,0,1,0,0,0,0,0,0,,
Shane Lechler,HOU,,1,1,10,0,0,10,0,0,,
Andy Lee,SFO,,0,1,0,0,0,0,0,0,,
Pat McAfee*+,IND,,0,1,0,0,0,0,0,0,,
Darren McFadden,OAK,RB,0,1,0,0,0,0,0,0,,
Ryan Quigley,NYJ,,1,1,38,0,0,38,0,0,,
Bobby Rainey,TAM,rb,0,1,0,0,0,0,0,0,,
Denard Robinson,JAX,RB,0,1,0,0,0,0,0,0,,
Mike Wallace,MIA,WR,0,1,0,0,0,0,0,0,,
Eric Weddle *+,SDG,FS,0,1,0,0,0,0,0,0,,
Brad Wing,PIT,,0,1,0,0,1,0,0,0,,
