Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Drew Brees*,NOR,QB,456,659,4952,33,17,69,29,186,2,2
Matt Ryan*,ATL,QB,415,628,4694,28,14,79,31,205,3,3
Andrew Luck *,IND,QB,380,616,4761,40,16,80,27,161,1,1
Ben Roethlisberger*,PIT,QB,408,608,4952,32,9,94,33,172,2,3
Matthew Stafford*,DET,QB,363,602,4257,22,12,73,45,254,5,5
Eli Manning,NYG,QB,379,601,4410,30,14,80,28,187,1,1
Derek Carr,OAK,QB,348,599,3270,21,12,77,24,149,1,1
Peyton Manning*,DEN,QB,395,597,4727,39,15,86,17,118,1,1
Ryan Tannehill,MIA,QB,392,590,4045,27,12,50,46,337,2,1
Tom Brady *,NWE,QB,373,582,4109,33,9,69,21,134,2,2
Philip Rivers,SDG,QB,379,570,4286,31,18,59,36,189,3,3
Jay Cutler,CHI,QB,370,561,3812,28,18,74,38,223,1,1
Joe Flacco,BAL,QB,344,554,3986,27,12,80,19,167,2,2
Aaron Rodgers *+,GNB,QB,341,520,4381,38,5,80,28,174,1,1
Andy Dalton*,CIN,QB,309,481,3398,19,17,81,21,124,4,3
Colin Kaepernick,SFO,QB,289,478,3369,19,10,80,52,344,3,2
Blake Bortles,JAX,QB,280,475,2908,11,17,63,55,345,1,1
Alex Smith,KAN,QB,303,464,3265,18,6,70,45,229,3,3
Russell Wilson,SEA,QB,285,452,3475,20,7,80,42,242,1,4
Cam Newton,CAR,QB,262,448,3127,18,12,51,38,300,3,2
Kyle Orton,BUF,QB,287,447,3018,18,10,84,33,198,2,2
Brian Hoyer,CLE,QB,242,438,3326,12,13,81,24,160,4,4
Tony Romo *,DAL,QB,304,435,3705,34,9,68,29,215,3,4
Teddy Bridgewater,MIN,QB,259,402,2919,14,12,87,39,249,3,3
Geno Smith,NYJ,QB,219,367,2525,13,13,74,28,175,1,2
Josh McCown,TAM,QB,184,327,2206,11,14,56,36,235,,
Ryan Fitzpatrick,HOU,QB,197,312,2483,17,8,76,21,83,,
Nick Foles,PHI,QB,186,311,2163,13,10,68,9,74,2,3
Mark Sanchez,PHI,qb,198,309,2418,14,11,72,23,151,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Austin Davis,STL,QB,180,284,2001,12,9,59,29,179,1,2
Drew Stanton,ARI,QB,132,240,1711,7,5,49,11,66,1,1
Shaun Hill,STL,qb,145,229,1657,8,7,63,18,116,,
Carson Palmer,ARI,qb,141,224,1626,11,3,80,9,59,2,2
Robert Griffin III,WAS,QB,147,214,1694,4,6,69,33,227,0,1
Kirk Cousins,WAS,qb,126,204,1710,10,9,81,8,70,,
Mike Glennon,TAM,qb,117,203,1417,10,6,41,16,91,1,1
Charlie Whitehurst,TEN,qb,105,185,1326,7,2,75,18,103,,
Zach Mettenberger,TEN,QB,107,179,1412,8,7,80,18,138,,
Jake Locker,TEN,qb,86,146,993,5,7,61,14,85,,
EJ Manuel,BUF,,76,131,838,5,3,80,6,44,0,1
Colt McCoy,WAS,,91,128,1057,4,3,70,17,117,1,2
Michael Vick,NYJ,,64,121,604,3,2,67,19,85,,
Derek Anderson,CAR,,65,97,701,5,0,35,4,17,,
Ryan Lindley,2TM,,45,93,562,2,4,41,6,46,0,0
Chad Henne,JAX,,42,78,492,3,1,63,16,105,,
Case Keenum,2TM,,45,77,435,2,2,35,3,15,1,1
Ryan Mallett,HOU,,41,75,400,2,2,41,1,5,,
Matt Cassel,MIN,,41,71,425,3,4,28,6,39,,
Jimmy Clausen,CHI,,26,48,223,2,1,22,3,20,,
Matt Hasselbeck,IND,,30,44,301,2,0,32,2,7,,
Christian Ponder,MIN,,22,44,222,0,2,18,6,34,,
Brandon Weeden,DAL,,24,41,303,3,2,43,1,9,,
Johnny Manziel,CLE,,18,35,175,0,2,32,3,26,,
Chase Daniel,KAN,,16,28,157,0,0,30,4,17,,
Connor Shaw,CLE,,14,28,177,0,1,49,4,27,,
Jimmy Garoppolo,NWE,,19,27,182,1,0,37,5,36,,
Jason Campbell,CIN,,11,19,74,0,0,38,1,0,,
Matt McGloin,OAK,,12,19,129,1,2,29,1,8,,
Tom Savage,HOU,,10,19,127,0,1,35,1,5,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Matt Flynn,GNB,,8,16,66,0,1,14,2,12,,
Brock Osweiler,DEN,,4,10,52,1,0,38,0,0,,
Matt Schaub,OAK,,5,10,57,0,2,16,3,24,,
Logan Thomas,ARI,,1,9,81,1,0,81,2,11,,
Matt Simms,NYJ,,3,8,39,0,0,21,0,0,,
Blaine Gabbert,SFO,,3,7,38,1,0,20,0,0,,
Ryan Nassib,NYG,,4,5,60,0,0,29,2,11,,
Matt Moore,MIA,,2,4,21,0,0,14,0,0,,
