Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Matthew Stafford,DET,QB,421,663,5038,41,16,73,36,257,3,4
Drew Brees*,NOR,QB,468,657,5476,46,14,79,24,158,3,4
Tom Brady *,NWE,QB,401,611,5235,39,12,99,32,173,1,2
Eli Manning *,NYG,QB,359,589,4933,29,16,99,28,199,5,6
Philip Rivers*,SDG,QB,366,582,4624,27,20,58,30,198,1,1
Ryan Fitzpatrick,BUF,QB,353,569,3832,24,23,60,22,148,2,2
Matt Ryan,ATL,QB,347,566,4177,29,12,80,26,173,3,3
Josh Freeman,TAM,QB,346,551,3592,16,22,65,29,164,1,2
Mark Sanchez,NYJ,QB,308,543,3474,26,18,74,39,243,4,4
Joe Flacco,BAL,QB,312,542,3610,20,12,74,31,203,2,3
Tony Romo,DAL,QB,346,522,4184,31,10,77,36,227,4,4
Matt Hasselbeck,TEN,QB,319,518,3571,18,14,80,19,153,2,3
Cam Newton*,CAR,QB,310,517,4051,21,17,91,35,260,1,1
Andy Dalton*,CIN,QB,300,516,3398,20,13,84,24,160,4,4
Ben Roethlisberger*,PIT,QB,324,513,4077,21,14,95,40,269,1,1
Aaron Rodgers *+,GNB,QB,343,502,4643,45,6,93,36,219,0,1
Colt McCoy,CLE,QB,265,463,2733,14,11,56,32,173,1,3
Rex Grossman,WAS,QB,265,458,3151,16,20,51,25,201,2,2
Tarvaris Jackson,SEA,QB,271,450,3091,14,13,61,42,293,,
Alex Smith,SFO,QB,273,445,3144,17,5,56,44,263,5,5
Michael Vick,PHI,QB,253,423,3303,18,14,73,23,126,,
Blaine Gabbert,JAX,QB,210,413,2214,12,11,74,40,293,,
Sam Bradford,STL,QB,191,357,2164,6,6,68,36,248,1,1
Matt Moore,MIA,QB,210,347,2497,16,9,65,36,229,1,1
Carson Palmer,OAK,QB,199,328,2753,13,16,78,17,119,0,1
Jay Cutler,CHI,QB,182,314,2319,13,7,56,23,159,1,1
Matt Schaub,HOU,QB,178,292,2479,15,6,80,16,98,0,1
Christian Ponder,MIN,QB,158,291,1853,13,13,72,30,164,0,1
John Skelton,ARI,qb,151,275,1913,11,14,60,23,162,4,5
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Tim Tebow,DEN,QB,126,271,1729,12,6,56,33,225,5,5
Matt Cassel,KAN,QB,160,269,1713,10,9,52,22,120,1,2
Kevin Kolb,ARI,QB,146,253,1955,9,8,73,30,219,2,1
