Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Kyle Orton,2TM,,150,252,1758,9,9,52,10,54,,
Curtis Painter,IND,QB,132,243,1541,6,9,87,16,104,,
Dan Orlovsky,IND,qb,122,193,1201,6,4,40,14,84,1,1
Jason Campbell,OAK,qb,100,165,1170,6,4,58,5,19,1,1
Donovan McNabb,MIN,qb,94,156,1026,4,2,60,16,113,,
Tyler Palko,KAN,,80,134,796,2,7,38,11,83,,
T.J. Yates,HOU,qb,82,134,949,3,3,50,15,74,1,2
John Beck,WAS,,80,132,858,2,4,32,16,84,,
Vince Young,PHI,,66,114,866,4,9,58,8,34,0,1
Chad Henne,MIA,,64,112,868,4,4,41,11,67,,
Seneca Wallace,CLE,,55,107,567,2,2,76,6,30,,
Caleb Hanie,CHI,,51,102,613,3,9,81,19,133,,
Kerry Collins,IND,,48,98,481,2,1,36,5,40,,
A.J. Feeley,STL,,53,97,548,1,2,34,10,72,,
Kellen Clemens,STL,,48,91,546,2,1,36,9,68,,
Jake Locker,TEN,,34,66,542,4,0,54,5,37,,
Joe Webb,MIN,,34,63,376,3,2,36,3,21,0,1
Luke McCown,JAX,,30,56,296,0,4,26,4,38,,
Charlie Whitehurst,SEA,,27,56,298,1,1,38,8,46,1,1
Josh McCown,CHI,,35,55,414,2,4,49,7,43,,
Matt Flynn,GNB,,33,49,518,6,2,80,5,18,1,1
Stephen McGee,DAL,,24,38,182,1,0,19,3,25,,
Josh Johnson,TAM,,19,36,246,1,2,42,3,24,,
Kyle Boller,OAK,,15,28,161,0,3,27,3,19,,
Jake Delhomme,HOU,,18,28,211,1,0,40,2,18,,
Chris Redman,ATL,,18,28,188,0,1,22,0,0,,
Charlie Batch,PIT,,15,24,208,0,1,46,2,10,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Richard Bartel,ARI,,10,22,86,1,1,23,1,6,,
Bruce Gradkowski,CIN,,8,18,109,1,1,41,1,7,1,1
Mike Kafka,PHI,,11,16,107,0,2,43,1,6,,
Matt Leinart,HOU,,10,13,57,1,0,20,0,0,,
Jon Kitna,DAL,,6,10,87,1,2,33,0,0,,
J.P. Losman,MIA,,6,10,60,0,0,25,5,38,,
Tyler Thigpen,BUF,,3,8,25,0,1,13,0,0,,
Chase Daniel,NOR,,4,5,29,0,0,14,0,0,,
Colin Kaepernick,SFO,,3,5,35,0,0,19,0,0,,
Mark Brunell,NYJ,,1,3,27,0,0,27,0,0,,
Shaun Hill,DET,,2,3,33,0,0,28,0,0,,
Shane Lechler*,OAK,,1,3,35,1,0,35,0,0,,
Tom Brandstater,STL,,0,2,0,0,0,0,0,0,,
Marshawn Lynch *,SEA,RB,0,2,0,0,0,0,0,0,,
David Akers*+,SFO,,1,1,14,1,0,14,0,0,,
Brandon Banks,WAS,,1,1,49,1,0,49,0,0,,
Randall Cobb,GNB,,0,1,0,0,0,0,0,0,,
Britton Colquitt,DEN,,0,1,0,0,0,0,0,0,,
Eric Decker,DEN,WR,0,1,0,0,0,0,0,0,,
Armanti Edwards,CAR,,1,1,11,0,0,11,0,0,,
Matt Forte *,CHI,RB,0,1,0,0,0,0,0,0,,
Chas Henry,PHI,,0,1,0,0,0,0,0,0,,
Brian Hoyer,NWE,,1,1,22,0,0,22,0,0,,
Jeremy Kerley,NYJ,,1,1,41,0,0,41,0,0,,
Brandon Lloyd,2TM,,0,1,0,0,0,0,0,0,,
Legedu Naanee,CAR,WR,1,1,27,0,0,27,0,0,,
Jerious Norwood,STL,,0,1,0,0,1,0,0,0,,
Adam Podlesh,CHI,,0,1,0,0,0,0,0,0,,
Ray Rice*,BAL,RB,1,1,1,1,0,1,0,0,,
Sidney Rice,SEA,WR,1,1,55,0,0,55,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Emmanuel Sanders,PIT,,1,1,15,0,0,15,0,0,,
Bernard Scott,CIN,,0,1,0,0,0,0,0,0,,
Daniel Sepulveda,PIT,,1,1,33,0,0,33,0,0,,
Brad Smith,BUF,wr,0,1,0,0,1,0,1,6,,
Micheal Spurlock,TAM,,0,1,0,0,0,0,0,0,,
Tyrod Taylor,BAL,,1,1,18,0,0,18,2,3,,
Demaryius Thomas,DEN,wr,0,1,0,0,0,0,0,0,,
