Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Jared Goff,LAR,QB,394,626,4638,22,16,66,22,170,1,2
Jameis Winston,TAM,QB,380,626,5109,33,30,71,47,282,2,2
Matt Ryan,ATL,QB,408,616,4466,26,14,93,48,316,3,2
Tom Brady,NWE,QB,373,613,4057,24,8,59,27,185,1,1
Carson Wentz,PHI,QB,388,607,4039,27,7,53,37,230,2,4
Dak Prescott,DAL,QB,388,596,4902,30,11,62,23,151,,
Philip Rivers,LAC,QB,390,591,4615,23,20,84,34,222,1,2
Aaron Rodgers *,GNB,QB,353,569,4002,26,4,74,36,284,2,3
Kyler Murray,ARI,QB,349,542,3722,20,12,88,48,309,1,2
Baker Mayfield,CLE,QB,317,534,3827,22,21,89,40,285,1,1
Andy Dalton,CIN,QB,314,528,3494,16,14,66,37,249,,
Mitchell Trubisky,CHI,QB,326,516,3138,17,10,53,38,234,3,3
Russell Wilson *,SEA,QB,341,516,4110,31,5,60,48,319,4,5
Derek Carr,OAK,QB,361,513,4054,21,8,75,29,184,2,3
Ryan Fitzpatrick,MIA,QB,311,502,3529,20,13,51,40,209,3,4
Deshaun Watson *,HOU,QB,333,495,3852,26,12,54,44,257,3,5
Kyle Allen,CAR,QB,303,489,3322,17,16,52,46,397,0,1
Patrick Mahomes *,KAN,QB,319,484,4031,26,5,83,17,127,1,1
Jimmy Garoppolo,SFO,QB,329,476,3978,27,13,75,36,237,4,4
Gardner Minshew II,JAX,QB,285,470,3271,21,6,70,33,184,3,3
Josh Allen,BUF,QB,271,461,3089,20,9,53,38,237,4,5
Daniel Jones,NYG,QB,284,459,3027,24,12,75,38,295,1,2
Jacoby Brissett,IND,QB,272,447,2942,18,6,50,27,159,2,2
Kirk Cousins *,MIN,QB,307,444,3603,26,6,66,28,206,1,1
Sam Darnold,NYJ,QB,273,441,3024,19,13,92,33,212,2,3
Lamar Jackson*+,BAL,QB,265,401,3127,36,6,83,23,106,1,2
Drew Brees*,NOR,QB,281,378,2979,27,4,61,12,89,1,2
Matthew Stafford,DET,QB,187,291,2499,19,5,66,18,137,2,1
Ryan Tannehill*,TEN,QB,201,286,2742,22,6,91,31,212,2,3
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Mason Rudolph,PIT,QB,176,283,1765,13,9,76,15,124,1,1
Joe Flacco,DEN,QB/qb,171,262,1822,6,5,70,26,194,,
Case Keenum,WAS,QB/qb,160,247,1707,11,5,69,15,145,,
Dwayne Haskins,WAS,qb,119,203,1365,7,7,75,29,204,1,1
Teddy Bridgewater,NOR,qb,133,196,1384,9,2,45,12,89,1,2
David Blough,DET,qb,94,174,984,4,6,75,14,104,,
Devlin Hodges,PIT,qb,100,160,1063,5,8,79,15,102,0,1
Marcus Mariota,TEN,qb,95,160,1203,7,2,75,25,162,,
Drew Lock,DEN,qb,100,156,1020,7,3,48,5,26,1,2
Eli Manning,NYG,/qb,91,147,1042,6,5,55,5,44,,
Nick Foles,JAX,/qb,77,117,736,3,2,39,8,60,,
Josh Rosen,MIA,,58,109,567,1,5,40,16,93,,
Jeff Driskel,DET,/qb,62,105,685,4,4,47,11,46,,
Matt Moore,KAN,,59,91,659,4,0,57,8,65,1,1
Cam Newton,CAR,,50,89,572,0,1,44,6,43,,
Ryan Finley,CIN,,41,87,474,2,2,47,11,93,,
Brandon Allen,DEN,,39,84,515,3,2,75,9,59,,
Luke Falk,NYJ,,47,73,416,0,3,36,16,96,,
Matt Schaub,ATL,,50,67,580,3,1,35,2,19,,
Brian Hoyer,IND,/qb,35,65,372,4,4,23,5,47,,
Chase Daniel,CHI,/qb,45,64,435,3,2,37,7,48,,
Ben Roethlisberger,PIT,,35,62,351,0,1,45,2,7,,
Will Grier,CAR,,28,52,228,0,4,28,6,44,,
Matt Barkley,BUF,,27,51,359,0,3,41,2,10,,
Robert Griffin III,BAL,,23,38,225,1,2,39,5,19,,
A.J. McCarron,HOU,,21,37,225,0,1,21,5,43,,
Colt McCoy,WAS,/qb,18,27,122,0,1,22,6,44,,
Sean Mannion,MIN,,12,21,126,0,2,35,0,0,,
Brett Hundley,ARI,,5,11,49,0,0,28,2,11,,
Mike Glennon,OAK,,6,10,56,1,0,19,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Taysom Hill,NOR,wr,3,6,55,0,0,20,1,9,,
Trevor Siemian,NYJ,/qb,3,6,3,0,0,3,2,17,,
Tyrod Taylor,LAC,,4,6,33,1,0,14,0,0,,
Josh McCown,PHI,,3,5,24,0,0,13,0,0,,
Jaylen Samuels,PIT,,4,5,35,0,1,21,0,0,,
Tim Boyle,GNB,,3,4,15,0,0,7,0,0,,
Ryan Griffin,TAM,,2,4,18,0,0,13,0,0,,
Jarrett Stidham,NWE,,2,4,14,0,1,11,1,7,,
Garrett Gilbert,CLE,,0,3,0,0,0,0,0,0,,
Johnny Hekker,LAR,,2,3,28,0,1,23,0,0,,
Odell Beckham Jr.,CLE,WR,1,2,20,0,0,20,0,0,,
Blake Bortles,LAR,,1,2,3,0,0,3,0,0,,
Logan Cooke,JAX,,2,2,16,0,0,9,1,19,,
Julian Edelman,NWE,WR,2,2,47,1,0,32,0,0,,
Matt Haack,MIA,,1,2,1,1,0,1,0,0,,
DeAndre Hopkins*+,HOU,WR,1,2,6,1,1,6,0,0,,
Brett Kern*+,TEN,,1,2,11,0,0,11,0,0,,
Christian McCaffrey *+,CAR,RB,0,2,0,0,0,0,0,0,,
Albert Wilson,MIA,,1,2,20,0,0,20,1,10,,
Danny Amendola,DET,WR,1,1,19,1,0,19,0,0,,
Kenjon Barner,ATL,,1,1,3,0,0,3,0,0,,
Andrew Beck,DEN,te,1,1,6,0,0,6,0,0,,
John Brown,BUF,WR,1,1,28,1,0,28,0,0,,
Randall Cobb,DAL,wr,0,1,0,0,0,0,0,0,,
Dustin Colquitt,KAN,,0,1,0,0,0,0,0,0,,
Stefon Diggs,MIN,WR,0,1,0,0,0,0,0,0,,
Jake Elliott,PHI,,0,1,0,0,1,0,0,0,,
Alex Erickson,CIN,wr,1,1,26,0,0,26,0,0,,
Josh Gordon,2TM,,0,1,0,0,1,0,0,0,,
Kelvin Harmon,WAS,WR,1,1,11,0,0,11,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Alvin Kamara*,NOR,RB,1,1,13,0,0,13,0,0,,
Sam Koch,BAL,,1,1,-2,0,0,-2,0,0,,
Cooper Kupp,LAR,WR,0,1,0,0,0,0,0,0,,
Andy Lee,ARI,,1,1,26,0,0,26,0,0,,
Michael Palardy,CAR,,1,1,12,0,0,12,0,0,,
Zach Pascal,IND,WR,0,1,0,0,0,0,0,0,,
Dante Pettis,SFO,,1,1,16,0,0,16,0,0,,
Bilal Powell,NYJ,/rb,0,1,0,0,0,0,0,0,,
Emmanuel Sanders,2TM,,1,1,35,1,0,35,0,0,,
Steven Sims,WAS,,0,1,0,0,0,0,0,0,,
Courtland Sutton *,DEN,WR,1,1,38,0,0,38,0,0,,
Alex Tanney,NYG,,1,1,1,0,0,1,0,0,,
James White,NWE,,1,1,35,0,0,35,0,0,,
