Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Tom Savage,HOU,,46,73,461,0,0,32,5,36,2,2
Jimmy Garoppolo,NWE,,43,63,502,4,0,37,3,15,1,1
Jacoby Brissett,NWE,,34,55,400,0,0,58,6,46,,
Nick Foles,KAN,,36,55,410,3,0,49,4,34,,
Derek Anderson,CAR,,36,53,453,2,5,48,0,0,,
Matt Cassel,TEN,,30,51,284,2,2,50,5,23,,
Drew Stanton,ARI,,19,48,192,2,3,29,1,8,,
Scott Tolzien,IND,,23,37,216,1,2,32,3,21,,
Shaun Hill,MIN,,19,35,242,0,0,33,1,7,,
Kevin Hogan,CLE,,14,26,104,0,2,17,2,10,,
EJ Manuel,BUF,,11,26,131,0,0,35,3,20,,
Charlie Whitehurst,CLE,,14,24,182,1,1,31,2,14,,
Connor Cook,OAK,,14,21,150,1,1,32,2,7,,
Trevone Boykin,SEA,,13,18,145,1,1,31,1,5,,
Mark Sanchez,DAL,,10,18,93,0,2,33,3,25,,
Matt McGloin,OAK,,8,15,50,0,0,19,0,0,,
Geno Smith,NYJ,,8,14,126,1,1,69,3,19,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Mike Glennon,TAM,,10,11,75,1,0,13,0,0,,
Cardale Jones,BUF,,6,11,96,0,1,64,1,2,,
Brett Hundley,GNB,,2,10,17,0,1,9,0,0,,
Terrelle Pryor,CLE,WR,5,9,41,0,0,26,1,1,,
Ryan Mallett,BAL,,3,6,26,0,1,12,0,0,,
Sean Mannion,LAR,,3,6,19,0,1,9,0,0,,
David Fales,CHI,,2,5,22,0,0,12,1,5,,
Tony Romo,DAL,,3,4,29,1,0,15,0,0,,
Matt Schaub,ATL,,1,3,16,0,0,16,0,0,,
Johnny Hekker*+,LAR,,1,2,4,0,0,4,0,0,,
DeMarco Murray*,TEN,RB,1,2,10,1,0,10,0,0,,
Doug Baldwin *,SEA,WR,1,1,15,1,0,15,0,0,,
Cole Beasley,DAL,WR,0,1,0,0,0,0,0,0,,
Le'Veon Bell*,PIT,RB,0,1,0,0,0,0,0,0,,
Travis Benjamin,SDG,WR,0,1,0,0,0,0,0,0,,
Dez Bryant*,DAL,WR,1,1,10,1,0,10,0,0,,
Kellen Clemens,SDG,,0,1,0,0,0,0,0,0,,
Pharoh Cooper,LAR,,0,1,0,0,1,0,0,0,,
Chase Daniel,PHI,,1,1,16,0,0,16,0,0,,
Riley Dixon,DEN,,1,1,16,0,0,16,0,0,,
Larry Fitzgerald*,ARI,WR,0,1,0,0,0,0,0,0,,
Josh Huff,2TM,,0,1,0,0,0,0,0,0,,
Duke Johnson,CLE,rb,0,1,0,0,0,0,0,0,,
Jarvis Landry *,MIA,WR,0,1,0,0,0,0,0,0,,
Marqise Lee,JAX,wr,1,1,20,1,0,20,0,0,,
Jeremy Maclin,KAN,WR,0,1,0,0,0,0,0,0,,
Pat McAfee*,IND,,1,1,35,0,0,35,0,0,,
Tanner McEvoy,SEA,,1,1,43,0,0,43,0,0,,
Jerick McKinnon,MIN,RB,0,1,0,0,0,0,0,0,,
Cameron Meredith,CHI,WR,1,1,2,1,0,2,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Antonio Morrison,IND,,0,1,0,0,0,0,0,0,,
Dontari Poe,KAN,NT,1,1,2,1,0,2,0,0,,
Jon Ryan,SEA,,0,1,0,0,0,0,0,0,,
Willie Snead,NOR,WR,1,1,50,1,0,50,0,0,,
Justin Tucker*+,BAL,,0,1,0,0,0,0,0,0,,
Tress Way,WAS,,1,1,31,0,0,31,0,0,,
Jonathan Williams,BUF,,0,1,0,0,0,0,0,0,,
