Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Drew Brees*,NOR,QB,471,673,5208,37,15,98,27,184,2,4
Joe Flacco,BAL,QB,436,672,4317,20,15,95,33,243,2,2
Blake Bortles,JAX,QB,368,625,3905,23,16,51,34,197,1,1
Aaron Rodgers *,GNB,QB,401,610,4428,40,7,60,35,246,0,2
Carson Wentz,PHI,QB,379,607,3782,16,14,73,33,213,1,1
Kirk Cousins *,WAS,QB,406,606,4917,25,12,80,23,190,4,4
Eli Manning,NYG,QB,377,598,4027,26,16,75,21,142,3,6
Carson Palmer,ARI,QB,364,597,4233,26,14,80,40,281,1,3
Matthew Stafford,DET,QB,388,594,4327,24,10,73,37,216,8,8
Philip Rivers*,SDG,QB,349,578,4386,33,21,59,36,188,1,1
Jameis Winston,TAM,QB,345,567,4090,28,18,45,35,239,1,3
Andy Dalton*,CIN,QB,364,563,4206,18,8,86,41,264,2,1
Derek Carr*,OAK,QB,357,560,3937,28,6,75,16,79,7,7
Sam Bradford,MIN,QB,395,552,3877,20,5,71,37,276,1,1
Russell Wilson,SEA,QB,353,546,4219,21,11,59,41,293,4,3
Andrew Luck,IND,QB,346,545,4240,31,13,64,41,268,4,4
Matt Ryan*+,ATL,QB,373,534,4944,38,7,76,37,235,1,2
Cam Newton,CAR,QB,270,510,3509,19,14,88,36,277,,
Brock Osweiler,HOU,QB,301,510,2957,15,16,53,27,206,2,2
Ben Roethlisberger*,PIT,QB,328,509,3819,29,13,72,17,141,2,2
Alex Smith*,KAN,QB,328,489,3502,15,8,80,28,140,3,3
Trevor Siemian,DEN,QB,289,486,3401,18,10,76,31,187,3,2
Dak Prescott *,DAL,QB,311,459,3667,23,4,83,25,143,5,5
Marcus Mariota,TEN,QB,276,451,3426,26,9,60,23,156,2,2
Tyrod Taylor,BUF,QB,269,436,3023,17,6,84,42,192,1,1
Tom Brady *,NWE,QB,291,432,3554,28,2,79,15,87,1,1
Ryan Fitzpatrick,NYJ,QB,228,403,2710,12,17,57,19,81,,
Ryan Tannehill,MIA,QB,261,389,2995,19,12,74,29,216,3,3
Colin Kaepernick,SFO,QB,196,331,2241,16,4,65,36,207,1,1
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Case Keenum,LAR,QB,196,322,2201,9,11,65,23,140,1,2
Matt Barkley,CHI,QB,129,216,1611,8,14,37,6,43,,
Jared Goff,LAR,qb,112,205,1089,5,7,66,26,222,,
Brian Hoyer,CHI,qb,134,200,1445,6,0,64,4,18,,
Cody Kessler,CLE,QB,128,195,1380,6,2,44,21,140,,
Josh McCown,CLE,qb,90,165,1100,6,6,54,18,126,,
Blaine Gabbert,SFO,qb,91,160,925,5,6,75,11,48,,
Robert Griffin III,CLE,qb,87,147,886,2,3,58,22,138,,
Jay Cutler,CHI,qb,81,137,1059,4,5,54,17,104,,
Bryce Petty,NYJ,,75,133,809,3,7,52,13,79,1,1
Matt Moore,MIA,,55,87,721,8,3,66,1,0,1,2
Landry Jones,PIT,,53,86,558,4,2,51,4,34,1,1
Paxton Lynch,DEN,,49,83,497,2,1,31,9,42,,
