Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Peyton Manning*,IND,QB,450,679,4700,33,17,73,16,91,0,2
Drew Brees*,NOR,QB,448,658,4620,33,22,80,25,185,4,5
Sam Bradford,STL,QB,354,590,3512,18,15,49,34,244,,
Carson Palmer,CIN,QB,362,586,3970,26,20,78,26,201,1,1
Matt Schaub,HOU,QB,365,574,4370,24,12,60,32,226,2,2
Matt Ryan*,ATL,QB,357,571,3705,28,9,46,23,158,5,6
Philip Rivers*,SDG,QB,357,541,4710,30,13,59,38,227,1,1
Eli Manning,NYG,QB,339,539,4002,31,25,92,16,117,1,1
Mark Sanchez,NYJ,QB,278,507,3291,17,13,74,27,171,3,5
Kyle Orton,DEN,QB,293,498,3653,20,9,71,34,243,1,1
Tom Brady *+,NWE,QB,324,492,3900,36,4,79,25,175,2,3
Chad Henne,MIA,QB,301,490,3301,15,19,57,30,178,0,1
Joe Flacco,BAL,QB,306,489,3622,25,10,67,40,294,2,4
Aaron Rodgers,GNB,QB,312,475,3922,28,11,86,31,193,0,1
Josh Freeman,TAM,QB,291,474,3451,25,6,64,28,195,5,5
Donovan McNabb,WAS,QB,275,472,3377,14,15,76,37,271,2,2
Matt Cassel*,KAN,QB,262,450,3116,27,7,75,26,182,1,2
Matt Hasselbeck,SEA,QB,266,444,3001,12,17,87,29,175,0,0
Ryan Fitzpatrick,BUF,QB,255,441,3000,23,15,65,24,145,1,1
Jay Cutler,CHI,QB,261,432,3274,23,16,89,52,352,4,4
Shaun Hill,DET,QB,257,416,2686,16,12,75,17,113,1,0
Ben Roethlisberger,PIT,QB,240,389,3200,17,5,56,32,220,2,3
Michael Vick*,PHI,QB,233,372,3018,21,6,91,34,210,4,3
David Garrard,JAX,QB,236,366,2734,23,15,75,33,253,1,5
Brett Favre,MIN,QB,217,358,2509,11,19,53,22,139,1,2
Alex Smith,SFO,QB,204,342,2370,14,10,62,25,140,,
Jason Campbell,OAK,QB,194,329,2387,13,8,73,33,208,2,2
Derek Anderson,ARI,QB,169,327,2065,7,10,43,25,176,1,1
Jon Kitna,DAL,QB,209,318,2365,16,12,71,21,100,1,2
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Jimmy Clausen,CAR,QB,157,299,1558,3,9,55,33,223,,
Kerry Collins,TEN,qb,160,278,1823,14,8,80,13,91,1,1
Colt McCoy,CLE,QB,135,222,1576,6,9,47,23,132,,
Tony Romo,DAL,qb,148,213,1605,11,7,69,7,41,,
Kevin Kolb,PHI,qb,115,189,1197,7,7,83,15,99,,
Bruce Gradkowski,OAK,,83,157,1059,5,7,70,10,77,,
Vince Young,TEN,QB,93,156,1255,10,3,71,13,80,0,1
Jake Delhomme,CLE,,93,149,872,2,7,49,6,49,1,2
Troy Smith,SFO,qb,73,145,1176,5,4,66,18,112,2,2
Matt Moore,CAR,qb,79,143,857,5,10,39,13,90,1,1
Rex Grossman,WAS,,74,133,884,7,4,64,9,77,0,1
John Skelton,ARI,,60,126,662,2,2,74,9,65,1,1
Drew Stanton,DET,,69,119,780,4,3,87,6,42,2,2
Trent Edwards,2TM,,55,101,521,2,5,44,11,95,,
Seneca Wallace,CLE,,64,101,694,4,2,65,6,33,,
Charlie Whitehurst,SEA,,57,99,507,2,3,61,5,13,,
Matthew Stafford,DET,,57,96,535,6,1,36,4,36,1,1
Joe Webb,MIN,,54,89,477,0,3,46,8,48,,
Tim Tebow,DEN,,41,82,654,5,3,50,6,26,1,1
Max Hall,ARI,,39,78,370,1,6,26,14,90,0,1
Matt Flynn,GNB,,40,66,433,3,2,66,7,38,,
Tyler Thigpen,MIA,,33,62,435,2,2,35,8,50,,
Tarvaris Jackson,MIN,,34,58,341,3,4,46,6,43,,
Charlie Batch,PIT,,29,49,352,3,3,46,4,21,,
Stephen McGee,DAL,,22,44,238,2,0,37,3,25,1,1
Rusty Smith,TEN,,20,40,200,0,4,52,1,0,,
Todd Bouman,JAX,,18,34,222,2,2,29,1,6,,
Dennis Dixon,PIT,,22,32,254,0,1,52,5,41,0,1
Richard Bartel,ARI,,16,28,150,0,1,31,2,12,,
Brian St. Pierre,CAR,,13,28,173,1,2,88,3,23,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Todd Collins,CHI,,10,27,68,0,5,19,2,15,,
Brian Brohm,BUF,,10,23,106,0,3,33,3,5,,
Brodie Croyle,KAN,,8,19,38,0,1,16,4,29,,
Luke McCown,JAX,,11,19,120,0,0,25,0,0,,
Josh Johnson,TAM,,14,16,111,0,0,22,2,8,,
Brian Hoyer,NWE,,7,15,122,1,1,42,0,0,,
Mark Brunell,NYJ,,7,13,117,2,1,52,1,7,,
David Carr,SFO,,5,13,67,0,1,22,1,5,,
Tony Pike,CAR,,6,12,47,0,0,22,1,10,,
Caleb Hanie,CHI,,5,7,55,0,0,26,2,15,,
Byron Leftwich,PIT,,5,7,42,0,0,14,2,7,,
Tyler Palko,KAN,,4,6,35,0,0,18,2,10,,
Chris Redman,ATL,,4,6,20,0,0,14,0,0,,
Kyle Boller,OAK,,2,4,25,0,1,20,1,6,,
Levi Brown,BUF,,2,3,24,0,1,16,0,0,,
Josh Cribbs,CLE,WR,2,3,19,0,0,10,1,0,,
Chase Daniel,NOR,,2,3,16,0,0,9,1,10,,
Jordan Palmer,CIN,,3,3,18,0,0,7,2,20,,
Brad Smith,NYJ,,2,3,6,1,0,3,0,0,,
Micheal Spurlock,TAM,,0,3,0,0,0,0,0,0,,
Steve Breaston,ARI,WR,1,2,17,0,0,17,0,0,,
Ronnie Brown,MIA,RB,0,2,0,0,0,0,0,0,,
Kellen Clemens,NYJ,,1,2,6,0,0,6,0,0,,
Peyton Hillis,CLE,RB,1,2,13,0,0,13,0,0,,
Chad Pennington,MIA,,1,2,19,0,0,19,0,0,,
Antwaan Randle El,PIT,,2,2,42,2,0,39,0,0,,
Marion Barber III,DAL,RB,0,1,0,0,0,0,0,0,,
Jahvid Best,DET,RB,0,1,0,0,0,0,0,0,,
Anquan Boldin,BAL,WR,1,1,-6,0,0,-6,0,0,,
Patrick Crayton,SDG,,0,1,0,0,0,0,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Armanti Edwards,CAR,,1,1,0,0,0,0,0,0,,
Earnest Graham,TAM,rb,1,1,2,1,0,2,0,0,,
Chad Johnson,CIN,WR,0,1,0,0,0,0,0,0,,
Maurice Jones-Drew*,JAX,RB,0,1,0,0,1,0,0,0,,
Sam Koch,BAL,,1,1,13,0,0,13,0,0,,
Brandon LaFell,CAR,,0,1,0,0,0,0,0,0,,
Stefan Logan,DET,,0,1,0,0,0,0,0,0,,
Brandon Marshall,MIA,WR,0,1,0,0,0,0,0,0,,
Mohamed Massaquoi,CLE,WR,1,1,29,1,0,29,0,0,,
Darren McFadden,OAK,RB,0,1,0,0,0,0,0,0,,
Michael Robinson,SEA,,1,1,28,0,0,28,0,0,,
Mike Scifres,SDG,,1,1,28,0,0,28,0,0,,
Billy Volek,SDG,,1,1,8,0,0,8,0,0,,
