Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Ben Roethlisberger,PIT,QB,452,675,5129,34,16,97,24,166,2,3
Andrew Luck *,IND,QB,430,639,4593,39,15,68,18,134,3,3
Matt Ryan,ATL,QB,422,608,4924,35,7,75,42,296,1,1
Kirk Cousins,MIN,QB,425,606,4298,30,10,75,40,262,1,0
Aaron Rodgers *,GNB,QB,372,597,4442,25,2,75,49,353,3,3
Case Keenum,DEN,QB,365,586,3890,18,15,64,34,235,3,4
Patrick Mahomes *+,KAN,QB,383,580,5097,50,12,89,26,171,2,2
Eli Manning,NYG,QB,380,576,4299,21,11,58,47,358,1,2
Tom Brady *,NWE,QB,375,570,4355,29,11,63,21,147,1,2
Jared Goff*,LAR,QB,364,561,4688,32,12,70,33,223,4,4
Matthew Stafford,DET,QB,367,555,3777,21,11,67,40,255,0,1
Derek Carr,OAK,QB,381,553,4049,19,10,66,51,299,3,3
Dak Prescott *,DAL,QB,356,526,3885,22,8,90,56,347,3,5
Philip Rivers*,LAC,QB,347,508,4308,32,12,75,32,204,3,3
Deshaun Watson *,HOU,QB,345,505,4165,26,9,73,62,384,5,5
Drew Brees*,NOR,QB,364,489,3992,32,5,72,17,121,6,7
Baker Mayfield,CLE,QB,310,486,3725,27,14,71,25,173,3,4
Cam Newton,CAR,QB,320,471,3395,24,13,82,29,213,2,2
Mitchell Trubisky *,CHI,QB,289,434,3223,24,12,70,24,143,1,2
Russell Wilson *,SEA,QB,280,427,3448,35,7,66,51,355,2,4
Sam Darnold,NYJ,QB,239,414,2865,17,15,76,30,204,1,1
Blake Bortles,JAX,QB,243,403,2718,13,11,80,31,173,0,1
Carson Wentz,PHI,QB,279,401,3074,21,7,58,31,202,2,2
Josh Rosen,ARI,QB,217,393,2278,11,14,75,45,320,1,2
Joe Flacco,BAL,QB,232,379,2465,12,6,71,16,79,,
Jameis Winston,TAM,QB,244,378,2992,19,14,64,27,157,0,1
Andy Dalton,CIN,QB,226,365,2566,21,11,49,21,157,3,4
