Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds.1,4QC,GWD
Marcus Mariota,TEN,QB,228,331,2528,11,8,61,42,243,2,3
Alex Smith,WAS,QB,205,328,2180,10,5,52,22,121,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Josh Allen,BUF,QB,169,320,2074,10,12,75,28,213,2,3
Nick Mullens,SFO,QB,176,274,2277,13,10,85,17,127,0,1
Ryan Tannehill,MIA,QB,176,274,1979,17,9,75,35,279,3,3
Ryan Fitzpatrick,TAM,qb,164,246,2366,17,12,75,14,76,,
Nick Foles,PHI,qb,141,195,1413,7,4,83,9,47,2,2
Brock Osweiler,MIA,qb,113,178,1247,6,4,75,17,130,1,1
Jeff Driskel,CIN,qb,105,176,1003,6,2,37,16,122,,
Lamar Jackson,BAL,qb,99,170,1201,6,3,74,16,71,0,1
C.J. Beathard,SFO,qb,102,169,1252,8,7,82,18,156,,
Cody Kessler,JAX,,85,131,709,2,2,35,22,149,,
Josh McCown,NYJ,,60,110,539,1,4,41,7,35,,
Blaine Gabbert,TEN,,61,101,626,4,4,35,5,37,2,2
Josh Johnson,WAS,,52,91,590,3,4,79,9,67,1,1
Jimmy Garoppolo,SFO,,53,89,718,5,3,56,13,97,,
Tyrod Taylor,CLE,,42,85,473,2,2,47,13,81,1,0
Nathan Peterman,BUF,,44,81,296,1,7,26,7,34,,
Sam Bradford,ARI,,50,80,400,2,4,35,6,33,,
Chase Daniel,CHI,,53,76,515,3,2,46,9,40,1,0
Derek Anderson,BUF,,42,70,465,0,4,40,5,33,,
Taylor Heinicke,CAR,,35,57,320,1,3,33,2,17,,
Colt McCoy,WAS,,34,54,372,3,3,53,6,36,,
DeShone Kizer,GNB,,20,42,187,0,2,29,4,38,,
Mark Sanchez,WAS,,19,35,138,0,3,20,7,42,,
Kyle Allen,CAR,,20,31,266,2,0,53,0,0,,
Matt Barkley,BUF,,15,25,232,2,0,47,1,8,,
Teddy Bridgewater,NOR,,14,23,118,1,1,18,2,8,,
Mike Glennon,ARI,,15,21,174,1,0,26,1,8,,
Matt Cassel,DET,,7,17,59,0,1,11,1,13,,
Joshua Dobbs,PIT,,6,12,43,0,1,22,0,0,,
Taysom Hill,NOR,,3,7,64,0,1,44,1,3,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Matt Schaub,ATL,,5,7,20,0,0,9,0,0,,
Robert Griffin III,BAL,,2,6,21,0,0,14,0,0,,
Kyle Lauletta,NYG,,0,5,0,0,1,0,0,0,,
Jacoby Brissett,IND,,2,4,2,0,0,4,0,0,,
Johnny Hekker,LAR,,2,4,19,0,0,12,0,0,,
Geno Smith,LAC,,1,4,8,0,0,8,1,16,,
Garrett Gilbert,CAR,,2,3,40,0,0,31,1,5,,
Chad Henne,KAN,,2,3,29,0,0,22,0,0,,
Derrick Henry,TEN,RB,2,3,14,0,0,8,0,0,,
Sean Mannion,LAR,,2,3,23,0,0,18,0,0,,
A.J. McCarron,OAK,,1,3,8,0,0,8,1,7,,
Odell Beckham Jr.,NYG,WR,2,2,106,2,0,57,0,0,,
Julian Edelman,NWE,WR,2,2,43,0,0,37,0,0,,
Brian Hoyer,NWE,,1,2,7,0,0,7,0,0,,
Jarvis Landry *,CLE,WR,1,2,63,0,0,63,0,0,,
Mohamed Sanu,ATL,WR,1,2,5,1,0,5,0,0,,
Nate Sudfeld,PHI,,1,2,22,1,0,22,0,0,0,0
Nelson Agholor,PHI,WR,1,1,15,0,0,15,0,0,,
Danny Amendola,MIA,WR,1,1,28,1,0,28,0,0,,
Bryan Anger,TAM,,0,1,0,0,0,0,0,0,,
Cole Beasley,DAL,,0,1,0,0,0,0,0,0,,
Corey Bojorquez,BUF,,0,1,0,0,0,0,0,0,,
Chris Boswell,PIT,,1,1,2,1,0,2,0,0,,
Tyler Boyd,CIN,WR,0,1,0,0,0,0,0,0,,
Antonio Brown *,PIT,WR,0,1,0,0,0,0,0,0,,
Kevin Byard,TEN,FS,1,1,66,1,0,66,0,0,,
Tarik Cohen*+,CHI,RB,1,1,1,1,0,1,0,0,,
Logan Cooke,JAX,,1,1,4,0,0,4,0,0,,
Eric Ebron*,IND,TE,0,1,0,0,0,0,0,0,,
Bruce Ellington,2TM,,0,1,0,0,0,0,0,0,,
Player,Tm,Pos,Cmp,Att,Yds,TD,Int,Lng,Sk,Yds,4QC,GWD
Larry Fitzgerald,ARI,WR,1,1,32,1,0,32,0,0,,
Dontrell Hilliard,CLE,,0,1,0,0,1,0,0,0,,
DeAndre Hopkins*+,HOU,WR,0,1,0,0,0,0,0,0,,
Darius Jennings,TEN,,1,1,21,0,0,21,0,0,,
Zay Jones,BUF,WR,0,1,0,0,0,0,0,0,,
Sam Koch,BAL,,1,1,21,0,0,21,0,0,,
Christian McCaffrey,CAR,RB,1,1,50,1,0,50,0,0,,
Anthony Miller,CHI,,1,1,8,0,0,8,0,0,,
Matt Prater,DET,,1,1,8,1,0,8,0,0,,
Emmanuel Sanders,DEN,WR,1,1,28,1,0,28,0,0,,
JK Scott,GNB,,0,1,0,0,0,0,0,0,,
Kenny Stills,MIA,WR,1,1,3,1,0,3,0,0,,
Logan Thomas,BUF,,1,1,15,0,0,15,0,0,,
Colby Wadman,DEN,,1,1,12,0,0,12,0,0,,
Tress Way,WAS,,1,1,7,0,0,7,0,0,,
Dede Westbrook,JAX,wr,0,1,0,0,0,0,0,0,,
Albert Wilson,MIA,,1,1,52,1,0,52,0,0,,
